DATAFLOW,LAST UPDATE,freq,age,nace_r1,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE34,2008,2.7,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,1999,,bu
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2000,,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2001,,bu
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2002,,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2003,,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2004,,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2005,4.6,bu
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2006,4.3,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2007,4.6,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BE35,2008,3.8,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG31,2003,46.8,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG31,2004,46.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG31,2005,46.5,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG31,2006,41.4,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG31,2007,46.7,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG32,2003,49.3,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG32,2004,45.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,BG32,2005,50.1,b
